carehomesbeds,year_location_end,forced_closure,ownership,individual_partnership,company,age,dementia,nurse,mental_health,detained,disabled,closed_complete,inadequate,requiresimprovement,good,outstanding,missing_quality
40,2011,0,For-Profit,0,1,8.3999996,0,1,0,0,0,0,,,,,1
0,2011,0,For-Profit,0,1,5.5666666,0,0,1,0,0,1,,,,,1
36,2011,0,For-Profit,0,1,11.066667,1,1,1,0,1,0,,,,,1
13,2011,0,Third sector,0,0,11.566667,0,0,0,0,0,1,,,,,1
41,2011,0,For-Profit,0,1,9.1000004,1,0,0,0,0,0,,,,,1
28,2011,0,For-Profit,0,1,12.166667,0,1,0,0,0,0,,,,,1
49,2011,0,For-Profit,0,1,12.166667,1,1,0,0,1,0,,,,,1
34,2011,0,Local Authority,0,0,11.5,0,0,1,0,0,1,,,,,1
2,2011,0,For-Profit,1,0,5.8666668,0,0,0,0,0,1,,,,,1
0,2011,0,For-Profit,1,0,14.266666,0,1,0,0,0,1,,,,,1
13,2011,0,For-Profit,0,1,.53333336,0,0,1,1,0,1,,,,,1
15,2011,0,Local Authority,0,0,5.3666668,0,0,0,0,0,1,,,,,1
41,2011,0,For-Profit,0,1,10.366667,0,1,0,0,1,0,,,,,1
5,2011,0,Third sector,0,0,10.133333,0,0,0,0,1,1,,,,,1
6,2011,0,For-Profit,0,1,6.2333331,0,0,0,0,0,0,,,,,1
36,2011,0,Local Authority,0,0,4.1333332,0,0,0,0,0,1,,,,,1
25,2011,0,For-Profit,1,0,9.9333334,1,0,1,0,0,0,,,,,1
60,2011,0,For-Profit,0,1,9.8666668,1,1,0,0,1,0,,,,,1
27,2011,0,For-Profit,1,0,10.866667,1,0,0,0,1,0,,,,,1
15,2011,0,For-Profit,0,1,3.4000001,0,1,0,0,0,0,,,,,1
40,2011,0,For-Profit,0,1,11.066667,0,0,0,0,0,0,,,,,1
40,2011,0,For-Profit,0,1,10.566667,1,0,0,0,0,0,,,,,1
30,2011,0,Local Authority,0,0,12.366667,1,0,1,0,1,0,,,,,1
22,2011,0,For-Profit,1,0,2.0333333,1,1,1,0,0,0,,,,,1
50,2011,0,For-Profit,0,1,10.566667,1,1,0,0,0,1,,,,,1
